ABCC1	GGT5
ABCC1	LMBRD1
ABCC1	LTC4S
ABCC1	MIR345
ABCC1	MIR7-1
ABCC1	MIR7-2
ABCC1	MIR7-3
ABCC1	SGPP1
ABCC1	SPHK1
ABCC2	NR1H4
ABCC3	ALB
ABCC3	FABP6
ABCC8	CACNA1A
ABCC8	CACNA1B
ABCC8	CACNA1C
ABCC8	CACNA1D
ABCC8	CACNA1E
ABCC8	CACNA1G
ABCC8	FOXA2
ABCC8	GJA10
ABCC8	GJC1
ABCC8	GJD2
ABCC8	KCNJ11
ABCC8	KCNJ8
ABCC8	PANX1
ABCC8	PANX2
ABCC8	PRKACA
ABCC8	PRKACB
ABCC8	PRKACG
ABCC8	PRKX
ABCC8	RAPGEF3
ABCC8	RAPGEF4
ABCC9	GJA10
ABCC9	GJC1
ABCC9	GJD2
ABCC9	KCNJ11
ABCC9	KCNJ8
ABCC9	PANX1
ABCC9	PANX2
ABCD1	ABCD2
ABCD1	ABCD3
ABCD1	ACOX1
ABCD1	FADS2
ABCD1	PEX19
ABCD1	PI4K2B
ABCD1	PI4KA
ABCD1	PLA2G16
ABCD1	PLA2G2A
ABCD1	PLA2G4A
ABCD1	PLA2G4C
ABCD1	PLA2G4D
ABCD1	PLA2G4E
ABCD1	PLA2G4F
ABCD1	PLBD1
ABCD2	ABCD3
ABCD2	PEX19
ABCD3	PEX19
ABCG2	ARNT
ABCG2	EPAS1
ABCG2	HIF1A
ABCG2	SLC22A1
ABCG2	SLC22A2
ABCG2	SLC22A3
ABCG5	ABCG8
ABCG5	APOA1
ABCG5	LCAT
ABCG5	NPC1L1
ABCG8	APOA1
ABCG8	LCAT
ABCG8	NPC1L1
ABHD12	LIPC
ABHD12	LIPE
ABHD12	LIPF
ABHD12	LIPG
ABHD12	PNLIP
ABHD12	PNLIPRP2
ABHD12	PNLIPRP3
ABHD12	PNPLA2
ABHD12	PNPLA3
ABHD12	PNPLA4
ABHD5	AGPAT6
ABHD5	AGPAT9
ABHD5	CDS1
ABHD5	CDS2
ABHD5	GPAM
ABHD5	GPAT2
ABHD5	LPPR2
ABHD5	LPPR3
ABHD5	LPPR4
ABHD5	PLIN1
ABHD5	PPAP2A
ABHD5	PPAP2B
ABHD5	PPAP2C
ABHD5	PPAPDC1A
ABHD6	LIPC
ABHD6	LIPE
ABHD6	LIPF
ABHD6	LIPG
ABHD6	PNLIP
ABHD6	PNLIPRP2
ABHD6	PNLIPRP3
ABHD6	PNPLA2
ABHD6	PNPLA3
ABHD6	PNPLA4
ABI1	ABI2
ABI1	ABL1
ABI1	ACTB
ABI1	ACTG1
ABI1	ACTR2
ABI1	ACTR3
ABI1	AKT1
ABI1	ARPC1A
ABI1	ARPC1B
ABI1	ARPC2
ABI1	ARPC3
ABI1	ARPC4
ABI1	ARPC4-TTLL3
ABI1	ARPC5
ABI1	BAIAP2
ABI1	BRK1
ABI1	CYFIP2
ABI1	DIAPH1
ABI1	DIAPH3
ABI1	DOK1
ABI1	EGF
ABI1	EGFR
ABI1	EPS8
ABI1	GAB1
ABI1	ITGA4
ABI1	ITGB1
ABI1	MAPK1
ABI1	MAPK3
ABI1	MYH2
ABI1	MYH9
ABI1	MYO10
ABI1	MYO1C
ABI1	MYO5A
ABI1	MYO9B
ABI1	NCKAP1
ABI1	PDGFB
ABI1	PDGFRB
ABI1	PDPK1
ABI1	PIK3CA
ABI1	PIK3CB
ABI1	PIK3CG
ABI1	PIK3R1
ABI1	PIK3R6
ABI1	PTEN
ABI1	RAC1
ABI1	SOS1
ABI1	VAV2
ABI1	VCAM1
ABI1	WASF1
ABI1	WASF2
ABI1	WASF3
ABI1	WASL
ABI2	ABL1
ABI2	ACTB
ABI2	ACTG1
ABI2	ACTR2
ABI2	ACTR3
ABI2	ARPC1A
ABI2	ARPC1B
ABI2	ARPC2
ABI2	ARPC3
ABI2	ARPC4
