Gene,sgRNAs included,KBM7 CS,KBM7 adjusted p-value,K562 CS,K562 adjusted p-value,Jiyoye CS,Jiyoye adjusted p-value,Raji CS,Raji adjusted p-value
C5orf38,10,0.002,0.6572953993,-0.298,0.8739978668,0.293,0.2611491269,0.092,0.8165757191
C5orf42,10,-0.253,0.4119985509,-0.174,0.5255794643,0.053,0.8345108636,-0.125,0.8426609476
C5orf45,9,-0.010,0.6404452072,-0.178,0.8242068764,-0.038,0.6337428263,-0.027,0.9637660947
C5orf46,10,0.353,0.100495406,0.629,0.0123308945,0.133,0.8224048117,0.327,0.4902948777
C5orf47,10,0.084,0.4808837851,0.120,0.261691109,0.483,0.1591137623,0.011,0.7335520334
C5orf48,10,0.187,0.0818005987,0.055,0.5364630509,-0.010,0.9485275193,0.209,0.3817040517
C5orf49,10,-0.057,0.8872869487,-0.035,0.4352238251,0.085,0.8875300272,-0.035,0.996683055
C5orf51,8,0.248,0.2393519419,0.387,0.2532087536,0.000,0.854715897,0.410,0.1124801723
C5orf52,10,0.458,0.0145219934,0.094,0.3136475014,0.204,0.5781635856,0.280,0.0651138295
C5orf54,10,0.179,0.3908540368,0.087,0.0263406867,-0.128,0.8809793623,0.081,0.7053904698
C5orf55,10,-0.011,0.9294163159,-0.184,0.9127605488,0.426,0.1233050865,0.270,0.430841231
C5orf58,6,0.274,0.3396784978,0.738,0.0406675577,0.170,0.9485583299,0.216,0.6734767144
C5orf60,10,0.271,0.4019728875,-0.067,0.7359473607,0.217,0.6150184419,0.037,0.6061522387
C5orf63,10,-0.047,0.2279589551,0.084,0.319677158,-0.116,0.3818653247,-0.192,0.4713372376
C5orf64,10,0.022,0.4002437938,0.114,0.1841809953,0.165,0.3155998804,0.196,0.3868440587
C6,9,0.251,0.1358965685,0.430,0.1964024672,0.327,0.2689880494,0.126,0.5552499376
C6orf1,10,-0.418,0.7647345994,-1.738,0.6504378145,-0.390,0.7649135539,-0.303,0.9074297442
C6orf10,10,0.508,0.0006870119,0.098,0.8267647436,0.026,0.7278314596,0.465,0.2462483676
C6orf106,10,-0.102,0.8281046181,-0.346,0.9898957205,0.116,0.8641295434,-0.040,0.6787816659
C6orf118,9,-0.316,0.9628851083,-0.710,0.5301509009,-0.802,0.6597935003,-0.715,0.6392378152
C6orf120,7,0.311,0.36196619,-0.534,0.855019417,-0.279,0.9999813664,-0.169,0.8242278331
C6orf132,8,-1.352,0.5969772902,-1.710,0.3651802714,-0.973,0.7997484643,-1.126,0.6522446828
C6orf136,10,-0.313,0.5401680541,-0.801,0.192469376,-0.691,0.1107253037,-0.093,0.9254400606
C6orf141,10,-0.430,0.9414196466,-0.921,0.409931001,0.054,0.5742388609,-0.111,0.8575235286
C6orf15,8,0.067,0.6712944806,-0.665,0.4574072651,0.241,0.8895716033,0.143,0.7893537175
C6orf163,10,0.086,0.1410146267,0.216,0.4400267108,-0.037,0.9448090204,0.023,0.6766260531
C6orf165,10,0.010,0.7925358655,-0.155,0.4975853062,0.051,0.6628750719,-0.083,0.7584106239
C6orf195,9,0.003,0.9487661646,-0.430,0.2595845271,-0.169,0.9963837548,-0.010,0.4964169855
C6orf201,10,0.302,0.0788627523,0.322,0.172740533,-0.090,0.9696179062,0.298,0.4319361614
C6orf203,10,-0.146,0.615298739,0.025,0.5438315968,0.054,0.9914521429,-0.159,0.9369897358
C6orf211,10,0.260,0.2047211807,0.113,0.2897965321,0.217,0.575310259,-0.086,0.9120674912
C6orf222,8,-0.080,0.6123588042,-0.405,0.8669620171,0.496,0.1069857999,0.258,0.7383097713
C6orf223,10,-0.065,0.7385234442,-0.373,0.4079235861,0.137,0.4634845719,-0.085,0.8446676226
C6orf226,10,0.095,0.6018657726,-0.385,0.7956830141,0.004,0.9909719195,-0.122,0.9993859315
C6orf25,9,-0.200,0.8260840214,-0.228,0.7598121868,0.090,0.981620169,0.002,0.8847849688
C6orf47,9,-0.256,0.5973425354,-0.350,0.9992274732,-0.209,0.9254624012,-0.171,0.9429044655
C6orf48,10,-0.070,0.8058632424,-0.404,0.318887595,-0.209,0.7197521712,-0.297,0.8099555262
C6orf52,9,0.169,0.5365334304,0.409,0.1461343232,0.219,0.3133216831,0.447,0.1410163292
C6orf57,9,-0.907,0.0419297155,-0.006,0.6957793165,-0.563,0.0638839959,-0.008,0.7136174409
C6orf58,9,-0.069,0.8874238234,0.139,0.4135132309,0.297,0.3272362967,-0.104,0.2034152972
C6orf62,9,0.291,0.119692727,-0.360,0.8432846002,0.017,0.8224048117,0.235,0.1983474664
C6orf89,10,-0.054,0.897765151,-0.294,0.0969845293,0.044,0.8298413915,0.253,0.1480162887
C6orf99,10,-0.043,0.8709821106,0.079,0.5833624886,0.445,0.0446319944,0.537,0.0494145753
C7,10,0.010,0.8463832249,0.034,0.375765046,0.064,0.9984412016,-0.110,0.6013130113
C7orf10,10,-0.133,0.6384123877,-0.175,0.9510106283,0.051,0.8488139119,0.189,0.5357347694
C7orf25,10,0.305,0.2401065826,0.503,0.0636957295,0.118,0.4524866428,0.154,0.6901945611
C7orf26,10,-1.036,0.0307592121,-1.059,0.0176082166,-0.060,0.6720187021,-1.105,0.0380153491
C7orf31,10,0.076,0.3818111226,-0.004,0.8992956121,-0.079,0.8729703139,0.149,0.7647244
C7orf33,10,0.108,0.2741040718,-0.075,0.7609310014,0.348,0.2613880728,0.337,0.4785317754
C7orf34,10,0.382,0.1796774982,0.653,0.0560457434,0.485,0.1025200835,0.693,0.0035943609
C7orf41,8,0.111,0.5590334981,0.219,0.4447633024,0.164,0.7129266714,0.187,0.6370357073
C7orf43,9,-0.160,0.7752603724,-0.404,0.9546782843,0.320,0.3133216831,0.112,0.6174675236
C7orf49,10,0.051,0.5286763182,0.007,0.5679444063,-0.349,0.7524158295,-0.041,0.4124500394
C7orf50,8,-0.358,0.7448655448,-0.572,0.9321612167,-0.172,0.3734375336,-0.542,0.7211367719
C7orf55,10,0.136,0.1335657122,-0.019,0.9119257601,0.357,0.3443698622,0.436,0.1402106799
C7orf55-LUC7L2,9,-0.551,0.3317496761,-0.824,0.8822921637,0.074,0.4791576782,-0.062,0.6742988769
C7orf57,9,0.303,0.0232946991,0.227,0.2718554723,0.359,0.5261704219,0.585,0.0705077291
C7orf60,10,0.396,0.1766097106,-0.087,0.9325208388,0.213,0.7419673229,0.476,0.0950253191
C7orf61,10,-0.240,0.7688918834,-0.499,0.6455492771,-0.024,0.4912337134,-0.220,0.9493152298
C7orf62,9,0.109,0.3852406289,0.335,0.1324954465,0.084,0.7090005961,-0.032,0.7873304262
C7orf63,9,0.214,0.3627895977,0.256,0.2228694305,-0.047,0.9750333892,0.156,0.5327530442
C7orf65,10,-0.272,0.4042736217,-0.117,0.9928985225,-0.124,0.928475074,-0.561,0.3182593697
C7orf66,9,0.350,0.1335657122,0.336,0.0160365112,-0.035,0.879986241,0.139,0.5269014648
C7orf69,10,0.074,0.1798696823,0.292,0.1451232224,0.283,0.2433481799,-0.008,0.8755090619
C7orf71,10,-0.196,0.7589561839,-0.932,0.6589914613,0.099,0.4694119566,-0.809,0.8852295148
C7orf72,8,0.114,0.3569260993,-0.073,0.8571048875,-0.316,0.5184743209,-0.093,0.5245659288
C7orf73,4,-0.483,0.2233666787,0.064,0.7514136818,-0.719,0.4279715115,0.135,0.6557642801
C7orf76,9,0.152,0.4215480541,0.344,0.0814700114,0.228,0.5688210597,0.281,0.5663039369
C8A,9,-0.046,0.7229199009,-0.231,0.793643985,-0.091,0.9868277952,0.031,0.871309275
C8B,9,0.036,0.8058632424,0.371,0.1274193186,0.206,0.8538124766,0.163,0.7606113442
C8G,9,0.227,0.4479311946,-0.202,0.9293008833,-0.096,0.6711326915,-0.277,0.4972229818
C8orf22,8,-0.026,0.9566059416,0.295,0.6051614213,0.183,0.9221604914,0.264,0.6407997294
C8orf31,9,-0.228,0.4965743969,0.164,0.3272327699,0.198,0.804492346,0.095,0.9247853472
C8orf33,9,-1.064,0.003156315,-0.442,0.0704577365,-0.211,0.8844108877,-0.224,0.7362160845
C8orf34,10,-0.393,0.5804186188,-0.532,0.2823505017,0.190,0.5852839571,0.255,0.5079885384
C8orf37,10,-0.225,0.8160977495,-0.022,0.376504215,0.542,0.0231272882,0.014,0.859615377
C8orf4,10,0.242,0.3138444673,0.375,0.3186209068,0.251,0.8233408797,0.676,0.0010407705
C8orf44,10,-0.057,0.7862755891,0.089,0.3948023285,0.114,0.8320377766,0.386,0.3156596492
C8orf46,10,-0.188,0.7245464024,0.195,0.6790331826,0.236,0.529888633,0.002,0.6826806127
C8orf47,10,-0.199,0.6922527512,0.022,0.9242999686,0.069,0.9485275193,-0.012,0.9610567165
C8orf48,7,0.190,0.7138723691,0.655,0.009311459,0.165,0.7489593337,0.070,0.8718863282
C8orf58,9,-0.715,0.1205641209,-0.326,0.7877215573,-0.071,0.9689822702,-0.087,0.8990340203
C8orf59,4,-0.504,0.3661032928,0.267,0.523544039,0.155,0.7038858561,0.150,0.929826066
C8orf74,9,-0.137,0.9828369311,0.083,0.4801323773,0.179,0.2231760492,0.146,0.789856636
C8orf76,10,-0.385,0.5639407977,-0.135,0.9719442197,0.016,0.9696179062,-0.072,0.5106206326
C8orf82,7,-0.251,0.8733260025,0.105,0.6405320258,0.472,0.149162899,0.284,0.3435781391
C8orf86,9,-0.306,0.7129885273,0.129,0.6664336127,0.196,0.5742388609,0.559,0.0727074862
C8orf87,10,-0.195,0.6675330466,0.112,0.3867139781,0.071,0.8328599558,-0.069,0.9775286868
C9,10,0.042,0.5758887629,0.189,0.3897964881,0.191,0.6203528867,0.231,0.6472464715
C9orf114,9,-2.215,0.0002608647,-3.418,0.0026637137,-2.996,0.0001677789,-2.270,0.0008782841
C9orf116,10,0.253,0.3396784978,0.196,0.3584813191,0.243,0.6609294128,0.255,0.4113571389
C9orf117,9,-0.187,0.7846442598,-1.123,0.5421871025,0.064,0.4274809965,-0.369,0.8580232218
C9orf129,8,-0.084,0.9222054671,-0.095,0.3808399137,-0.028,0.9665223361,-0.003,0.9434321051
C9orf131,10,-0.799,0.4547507364,-1.020,0.756697383,-0.304,0.9700099834,-0.198,0.9776473254
C9orf135,10,0.322,0.0400605622,0.773,0.0017165755,0.239,0.817193957,0.146,0.6787816659
C9orf139,10,-0.528,0.4655063678,-0.264,0.9001417819,-0.220,0.7797729184,-0.061,0.7875143754
C9orf142,8,-0.522,0.488317529,-0.699,0.8913704292,-0.095,0.9408291216,-0.009,0.7572287847
C9orf152,9,-0.030,0.8522971033,-0.045,0.16203159,0.267,0.4279715115,0.255,0.3741763588
C9orf153,9,0.460,0.0069225785,0.547,0.0252500381,0.159,0.8311563409,0.150,0.275522006
C9orf156,9,-0.259,0.7785298295,-0.167,0.8651525788,-0.367,0.9621310175,-0.128,0.3331191422
C9orf16,7,-0.692,0.9357177519,-1.193,0.6496187266,-0.098,0.8646726245,-0.850,0.8743949753
C9orf163,8,-0.784,0.6274714605,-1.743,0.4674247411,-0.606,0.9540252215,-0.832,0.6743743517
C9orf169,10,-0.100,0.9841083426,-0.344,0.9956660693,-0.038,0.9763734072,-0.107,0.9553251057
C9orf170,10,-0.114,0.7975977186,0.132,0.5453998909,-0.245,0.8118328769,-0.257,0.869507568
C9orf171,10,-0.068,0.9604730897,0.302,0.1965881708,0.200,0.7324134553,-0.152,0.7558287982
C9orf172,7,-0.002,0.773983211,0.090,0.6570996948,-0.074,0.9987868647,-0.408,0.8007370784
C9orf173,9,-0.214,0.7523032805,-0.154,0.5790335117,-0.083,0.8420555549,-0.354,0.76139007
C9orf24,10,-0.119,0.9931913886,-0.248,0.576856679,-0.215,0.8462734605,-0.185,0.5437608022
C9orf3,10,0.135,0.3957097011,0.176,0.6025034814,0.048,0.9361081659,0.293,0.3881281751
C9orf37,10,-0.132,0.9791463221,0.101,0.8278184315,0.152,0.4422016236,-0.052,0.9868883101
C9orf40,9,0.124,0.3934296543,0.237,0.2425406558,0.123,0.8258777941,0.380,0.2293091743
C9orf41,10,-1.333,0.0126731059,0.319,0.068973731,-0.617,0.6770320637,-0.497,0.0927612649
C9orf43,9,-0.013,0.4316851047,0.023,0.8451141497,0.258,0.5159214924,0.484,0.308423088
C9orf47,8,0.072,0.8228532708,0.383,0.3336562215,0.482,0.0903529246,0.459,0.0911550974
C9orf50,8,-0.253,0.9396971204,-0.416,0.5095780784,-0.033,0.9654440451,-0.147,0.9591041691
C9orf57,8,-0.110,0.8397886484,0.489,0.0518847043,0.264,0.3867118979,0.375,0.5442696239
C9orf62,10,-0.069,0.8386237049,0.126,0.6364466885,0.302,0.3017102816,0.024,0.9190319073
C9orf64,10,-0.033,0.9357056466,0.046,0.0690124565,0.151,0.8721415548,-0.049,0.9793766002
C9orf66,10,0.119,0.4363423135,0.153,0.4670338356,0.330,0.0724309896,0.387,0.2523360431
C9orf69,9,0.082,0.6699284741,-0.348,0.7979272558,-0.006,0.9166958681,0.177,0.4108323672
C9orf72,9,0.114,0.2846063746,0.429,0.0255716488,-0.184,0.7000467091,0.368,0.2150137113
C9orf78,8,-0.640,0.3628298834,-1.432,0.0117581689,-1.286,0.0123138079,-1.157,0.1028166123
C9orf84,8,0.224,0.1264835014,0.480,0.1458151332,0.098,0.8432744046,0.221,0.3245164312
C9orf85,10,0.130,0.4274967086,0.678,0.0087072727,0.241,0.5451654879,0.258,0.40151682
C9orf89,10,-0.002,0.6826403743,-0.127,0.8404849773,0.005,0.9069386187,-0.293,0.615653803
C9orf9,10,0.029,0.7394237042,0.036,0.4382704114,0.125,0.7819936617,0.097,0.7136174409
C9orf91,9,0.088,0.5033753328,0.080,0.5160185541,0.190,0.3605413677,0.246,0.5582971436
C9orf96,10,0.038,0.6284520643,-0.227,0.9176637845,-0.011,0.9323397035,-0.250,0.9099238072
CA1,10,-0.215,0.9548358243,-0.484,0.8899593132,-0.169,0.7876702203,-0.379,0.7057590662
CA10,9,0.347,0.1830816074,0.236,0.0750997218,0.204,0.6193092514,0.021,0.7190287448
CA11,10,-0.115,0.7598218713,-0.068,0.8121505631,0.200,0.8629167378,-0.102,0.9005020444
CA12,9,-0.147,0.8750402808,0.145,0.7149785495,0.286,0.7891237705,0.411,0.0486127222
CA13,9,-0.031,0.6726385356,0.097,0.7102242496,0.462,0.1489421503,0.536,0.0454259867
CA14,9,-0.127,0.8074659587,0.038,0.4571225188,-0.257,0.9696372978,-0.155,0.5494660682
CA2,10,-0.026,0.7894581653,0.132,0.5965440652,-0.009,0.9880269999,0.332,0.2523360431
CA3,10,-0.093,0.9396971204,-0.079,0.8182430522,0.077,0.7758563539,0.167,0.6363009587
CA4,9,-0.338,0.315411434,-0.198,0.9373271937,0.153,0.3008048556,0.035,0.6491801288
CA5A,9,-0.414,0.4560906388,-0.410,0.5732319709,-0.417,0.8489195696,-0.386,0.7220251512
CA5B,8,0.237,0.0875143174,0.186,0.4913037829,0.171,0.8133642492,0.288,0.6443651971
CA6,10,0.029,0.7957843491,-0.018,0.6002118374,-0.265,0.7035888868,-0.160,0.4833506545
CA7,10,-0.204,0.8813720962,-0.289,0.876889249,0.041,0.9023405895,-0.286,0.4433760669
CA8,10,-0.504,0.3418227754,-0.647,0.8651525788,-0.439,0.662093062,-0.286,0.9955573069
CA9,10,-0.200,0.840047454,-0.892,0.1841257025,-0.057,0.8869256014,-0.116,0.9999747007
CAAP1,10,-0.232,0.3246071265,0.150,0.4063994226,-0.077,0.9120207376,0.279,0.6227381337
CAB39,10,-1.078,0.0089828516,-0.686,0.1041987564,0.055,0.894089803,-0.089,0.8645435086
CAB39L,10,0.061,0.637139511,0.665,0.0008519224,0.264,0.5444495736,0.257,0.2235893022
CABIN1,10,-0.491,0.7573193611,-1.620,0.0378526864,-0.780,0.5825632804,-0.987,0.1111513727
CABLES1,8,0.141,0.7742037187,-1.005,0.735754361,-0.262,0.9450380134,-0.484,0.522886499
CABLES2,9,0.270,0.4197135978,-0.258,0.966319153,0.167,0.7061000257,0.548,0.0839232554
CABP1,10,0.124,0.6888540283,-0.169,0.9824125936,-0.093,0.9123453252,0.026,0.6424005889
CABP2,8,-0.201,0.828222686,-0.398,0.402104266,0.044,0.6385535384,-0.032,0.9634519889
CABP4,9,-0.017,0.8439458763,-0.281,0.8221279966,0.171,0.5259050853,-0.202,0.8833044119
CABP5,10,0.179,0.4834481199,-0.806,0.626357784,-0.108,0.926605074,-0.051,0.8436194098
CABP7,8,-0.017,0.6824733867,0.026,0.8451141497,0.031,0.5737439425,-0.306,0.6011526194
CABS1,10,0.160,0.4314880938,0.536,0.0655204514,0.159,0.8183807956,0.261,0.512776801
CABYR,9,0.113,0.6878017048,-0.092,0.9794903982,0.204,0.4503270586,0.206,0.4649189794
CACFD1,8,0.126,0.7227871064,0.105,0.8220993252,0.034,0.9522655068,-0.243,0.3569052553
CACHD1,9,0.032,0.6577077131,0.274,0.3843095276,0.059,0.9737228979,0.655,0.0939390279
CACNA1A,8,-0.525,0.5043067557,-1.839,0.0968598673,-0.453,0.8128311162,-0.797,0.2264150641
CACNA1B,10,-0.220,0.6360926823,-0.643,0.5584542102,-0.160,0.9985856598,0.082,0.9043100263
CACNA1C,9,-0.208,0.922649414,0.138,0.4648571685,0.462,0.0257043879,-0.223,0.6258705772
CACNA1D,9,-0.546,0.3211331415,-0.949,0.5895562057,-0.355,0.9314330939,-0.369,0.9073308644
CACNA1E,10,-0.187,0.9422400749,-1.202,0.2424744863,-0.570,0.1193387527,-0.283,0.8198120902
CACNA1F,10,-0.437,0.8795393524,-0.189,0.9485069586,-0.073,0.7004713799,0.028,0.3206311834
CACNA1G,9,-0.381,0.9591503996,-0.477,0.6759413824,0.158,0.8068689539,-0.539,0.157947932
CACNA1H,10,-0.004,0.5549325656,-0.312,0.8779062647,0.326,0.3460605849,0.027,0.934922536
CACNA1I,10,-0.411,0.2349871846,-0.984,0.2145782918,-0.151,0.8184217113,-0.639,0.458329528
CACNA1S,10,-0.782,0.5051594294,-2.230,0.2848803356,-1.158,0.6130380966,-0.697,0.5843563427
CACNA2D1,9,-0.359,0.8883166065,-0.661,0.5513479078,0.236,0.7316740481,0.043,0.9072403918
CACNA2D2,9,-0.218,0.5010872775,-0.710,0.5225344378,0.172,0.3887198341,-0.210,0.8645263253
CACNA2D3,10,0.378,0.031311087,0.181,0.2947258689,0.176,0.8022129264,0.211,0.1385011834
CACNA2D4,7,0.082,0.6018016375,0.206,0.3644242022,0.109,0.8207500301,0.088,0.8746262138
CACNB1,9,-0.264,0.9469696952,-0.132,0.9975805609,0.020,0.9619975671,-0.466,0.3386133364
CACNB2,10,0.216,0.0318894124,-0.020,0.730225293,0.068,0.6008755113,-0.399,0.8322457267
CACNB3,10,-0.305,0.783269182,-0.715,0.2167368903,-0.757,0.1421216922,-0.487,0.795233153
CACNB4,10,0.384,0.1977112419,-0.103,0.6579872674,0.105,0.9088984373,0.178,0.7731342723
CACNG1,10,-0.044,0.5628206658,-0.253,0.9173144349,0.036,0.984839227,0.151,0.6424005889
CACNG2,9,-0.063,0.8042738467,-0.333,0.7036844816,0.141,0.6293897352,0.190,0.8281622711
CACNG3,10,-0.085,0.7453949435,0.086,0.2006139028,-0.143,0.9397136071,-0.029,0.8274240654
CACNG4,8,-0.083,0.8685426722,-0.241,0.9123188519,0.122,0.8183807956,-0.279,0.8746397346
CACNG5,10,-0.010,0.5790936271,-0.117,0.0994858186,-0.183,0.6388166949,-0.122,0.5525589384
CACNG6,10,0.403,0.1199946716,0.460,0.1216815674,0.096,0.8225146875,0.127,0.3674355869
CACNG7,10,0.152,0.4009991189,0.137,0.6991785435,0.249,0.6506419476,0.265,0.5906175297
CACNG8,10,0.102,0.4621087183,0.062,0.9010713322,-0.074,0.91086724,0.163,0.8322457267
CACTIN,10,-0.829,0.1903067104,-2.978,0.0162700266,-0.947,0.0337159194,-1.446,0.0139041066
CACUL1,7,-0.703,0.1133006851,-0.625,0.7718749288,-0.424,0.7635377332,-0.243,0.9208592068
CACYBP,10,0.383,0.041389352,-0.492,0.5407074686,-0.094,0.9654440451,-0.312,0.5160670455
CAD,10,-3.015,2.53E-05,-3.900,3.04E-05,-1.794,1.66E-05,-0.514,0.4562552491
CADM1,10,-0.179,0.9827720877,-0.151,0.6519519287,-0.026,0.804492346,-0.120,0.927864099
CADM2,10,0.095,0.238978158,0.403,0.1103602879,0.167,0.8595154565,0.438,0.0363855209
CADM3,9,-0.268,0.9404977771,-0.593,0.898531283,-0.271,0.943105031,-0.566,0.6396073113
CADM4,9,-0.140,0.7361811255,-0.427,0.5890297983,-0.186,0.9622629072,-0.243,0.8763542915
CADPS,9,-0.654,0.6881405083,-0.540,0.7106385888,-0.514,0.8436454607,-0.527,0.5341598231
CADPS2,10,0.176,0.4745605228,0.309,0.4205242428,0.198,0.8328599558,0.196,0.6974237982
CAGE1,10,0.021,0.562268904,0.087,0.3526684225,0.091,0.5395639072,0.050,0.3725331621
CALB1,9,0.068,0.2731421832,-0.273,0.7551930273,0.007,0.5490703413,-0.057,0.6281639832
CALB2,10,-0.014,0.3386811835,-0.185,0.3060798018,0.063,0.8811972393,-0.039,0.7661034772
CALCA,10,0.344,0.0105085683,0.272,0.2084376674,0.048,0.6681347225,0.244,0.4541261878
CALCB,9,-0.125,0.7785298295,-0.236,0.5157959588,-0.014,0.8813904811,-0.220,0.9400177777
CALCOCO1,10,-0.015,0.7879836306,-0.004,0.5596122432,0.011,0.8224048117,0.116,0.7113327151
CALCOCO2,9,-0.221,0.7092841815,-0.169,0.9187741097,-0.045,0.8428029522,-0.067,0.9999747007
CALCR,8,0.038,0.8117093423,-0.388,0.9181510516,0.336,0.2997728532,-0.044,0.8602266157
CALCRL,10,0.248,0.2706653048,0.177,0.1803257026,0.265,0.7171659849,0.384,0.3479087757
CALD1,10,-0.773,0.3456387153,-1.073,0.5520703924,-0.329,0.7958924399,-0.626,0.743826912
CALHM1,8,0.055,0.4551964295,-0.033,0.7738265929,-0.183,0.8376297538,0.000,0.6011526194
CALHM2,10,-0.159,0.6610745903,-0.924,0.9293008833,0.005,0.7147989432,0.055,0.6856054607
CALHM3,9,-0.070,0.9280431435,-0.209,0.9436341701,0.452,0.1220690806,0.062,0.7675466358
CALM1,9,-0.001,0.8586471828,0.052,0.5332010895,0.168,0.8353220151,0.047,0.8751920159
CALM2,9,0.048,0.6062346978,-0.084,0.6345267827,-0.096,0.7419673229,0.008,0.7482097339
CALM3,10,-0.452,0.8464817756,-0.928,0.314115275,-0.507,0.0697849223,-0.749,0.3189329039
CALML3,10,-0.129,0.9986724147,-0.424,0.6239079871,-0.051,0.9984412016,-0.141,0.9970788152
CALML4,10,-0.658,0.2076118051,-0.535,0.8779062647,-0.141,0.9551601394,-0.067,0.9505489582
CALML5,10,0.377,0.369277273,0.180,0.5953000846,0.204,0.7562042401,0.292,0.3004247025
CALML6,10,-0.090,0.6585361823,-0.083,0.8895640054,0.167,0.5370354107,-0.640,0.2921107432
CALN1,8,0.243,0.0784723719,-0.148,0.5482806395,0.203,0.8714157076,0.147,0.9308488548
CALR,10,-0.799,0.0181226795,-0.492,0.1618140822,-0.165,0.8214497367,-1.148,0.0182825146
CALR3,8,-0.106,0.8510692732,-0.090,0.6924838235,0.093,0.4329512682,-0.145,0.9382763289
CALU,9,0.034,0.765523752,-0.090,0.9615802469,0.070,0.9309603457,0.064,0.8690451451
CALY,10,0.012,0.7710874287,0.070,0.6435794314,0.343,0.3807821257,0.196,0.7053904698
CAMK1,10,-0.235,0.9138486016,-0.166,0.6519519287,0.227,0.5166211731,-0.128,0.9176767424
CAMK1D,10,0.187,0.210029313,0.450,0.1891062965,0.244,0.7909851482,0.446,0.0498632824
CAMK1G,8,0.045,0.3597869349,-0.002,0.6624464527,0.467,0.0101565641,0.012,0.8253563034
CAMK2A,9,-0.063,0.9099019887,0.364,0.260013736,0.357,0.6366009486,0.044,0.9014092313
CAMK2B,10,-0.068,0.8475072479,-0.274,0.7716634921,0.150,0.896325181,0.027,0.8654198609
CAMK2D,10,0.192,0.5463254162,0.427,0.0596781335,-0.208,0.9408457093,0.198,0.624153854
CAMK2G,10,-0.097,0.7435392301,-0.831,0.0330398862,-0.171,0.671299087,-0.104,0.7771102334
CAMK2N1,9,0.051,0.3880696504,-0.192,0.7315523207,-0.184,0.954706536,-0.413,0.4695547905
CAMK2N2,9,-0.051,0.8034992072,0.194,0.3762059705,-0.097,0.4291778017,0.216,0.5545827018
CAMK4,9,0.279,0.163214422,0.387,0.0387282509,0.272,0.4026428075,0.100,0.5978058207
CAMKK1,8,-0.190,0.4801812005,-0.149,0.9437638372,0.184,0.7773453646,0.179,0.515824863
CAMKK2,9,-0.028,0.7480567063,-0.374,0.1323833427,0.126,0.8037902243,-0.022,0.8103026693
CAMKMT,10,0.141,0.4290677608,0.078,0.5492512985,0.246,0.3771231057,0.112,0.8723667519
CAMKV,9,-0.181,0.9131593039,-0.071,0.8265746938,0.350,0.2631140746,-0.116,0.6472464715
CAMLG,9,-0.689,0.2677213022,-0.627,0.3809459782,-0.259,0.5946245845,-0.131,0.9999747007
CAMP,10,0.000,0.9085319097,-0.422,0.9795855967,0.243,0.3743365785,-0.048,0.7546758932
CAMSAP1,9,-0.022,0.6699284741,-0.631,0.9134340873,0.242,0.4166225406,-0.194,0.9927054978
CAMSAP2,8,0.099,0.6924791171,0.193,0.7531002313,-0.146,0.9999813664,0.082,0.8119534662
CAMSAP3,9,-0.281,0.5540713383,-0.412,0.3580495094,-0.415,0.9337795834,-0.058,0.8812957291
CAMTA1,9,-0.226,0.9793409513,0.245,0.2681766079,0.271,0.4596621665,0.173,0.919785934
CAMTA2,10,-0.455,0.8874391994,-0.709,0.7925926074,0.179,0.47720614,-0.176,0.9252005615
CAND1,9,-1.183,0.007329105,-0.573,0.2227176876,-0.134,0.7370644677,-0.242,0.6363009587
CAND2,9,-0.301,0.4452998001,-1.546,0.0212674701,0.398,0.5051288912,-0.499,0.3542198756
CANT1,8,-0.486,0.9347182832,-1.445,0.8829419502,-0.414,0.9878368518,-0.184,0.9832467102
CANX,9,-0.282,0.8287726813,-0.324,0.5422642817,-0.642,0.9494395502,-0.154,0.9813846556
CAP1,9,-0.359,0.4957307577,0.250,0.3434580731,-0.296,0.7623711999,0.119,0.5658905538
CAP2,10,0.295,0.1064719829,-0.095,0.8486561768,0.083,0.2931188417,0.395,0.0730360116
CAPG,10,-0.290,0.6994598302,-0.983,0.0817027392,-0.117,0.7949708972,-0.326,0.2263798326
CAPN1,10,-0.252,0.7752331163,-0.442,0.7573110832,0.110,0.7226881155,-0.304,0.4643541892
CAPN10,10,-0.120,0.7187222411,-0.170,0.9625483858,-0.013,0.6597935003,-0.187,0.5973611985
CAPN11,10,-0.357,0.8871915715,-0.342,0.5590768737,0.537,0.1329767652,-0.010,0.9658046545
CAPN12,9,-0.485,0.8926583229,-1.670,0.3366200865,-0.075,0.5806150528,-0.273,0.8228296306
CAPN13,10,0.087,0.707357933,-0.052,0.2295058616,-0.256,0.8645877827,-0.379,0.7712826175
CAPN14,9,0.120,0.5504894527,-0.349,0.7629432285,-0.212,0.8145285322,-0.265,0.4514869266
CAPN15,8,0.259,0.464423016,0.006,0.9001417819,-0.035,0.8068689539,0.008,0.6742861414
CAPN2,10,-0.282,0.2820445997,-0.580,0.6978320737,-0.193,0.3798917078,-0.405,0.7156533155
CAPN3,10,0.082,0.4655063678,0.225,0.1865055694,-0.030,0.8756529591,0.139,0.6867190946
CAPN5,10,0.066,0.7539765498,-0.127,0.864708834,-0.028,0.9619975671,-0.151,0.6564632866
CAPN6,10,0.370,0.0822277022,0.416,0.1142856492,0.361,0.310494045,0.891,0.0027959927
CAPN7,10,0.283,0.1748078381,0.090,0.3964887526,0.149,0.769622914,0.081,0.3095497621
