Gene,sgRNAs included,KBM7 CS,KBM7 adjusted p-value,K562 CS,K562 adjusted p-value,Jiyoye CS,Jiyoye adjusted p-value,Raji CS,Raji adjusted p-value
UAP1,10,0.134,0.2672772021,-0.307,0.3659132942,0.171,0.7038858561,-0.103,0.3687180176
UAP1L1,10,0.016,0.8116503529,-0.024,0.6239079871,0.290,0.3759452585,-0.185,0.9733541399
UBA1,9,-1.751,0.0001022064,-3.107,0.0002295949,-3.869,3.04E-05,-2.867,4.44E-05
UBA2,10,-1.039,0.0495984131,-2.369,0.001069421,-0.741,0.1374127438,-1.058,0.0918393827
UBA3,10,-2.217,0.0001426759,-4.079,0.0011001882,-1.846,0.006306093,-0.770,0.3797458206
UBA5,8,-0.279,0.7249688715,-0.897,0.0824672398,0.169,0.8145285322,-0.256,0.762403586
UBA52,9,-2.186,0.0092559914,-3.042,0.0082734133,-2.712,0.000301169,-2.206,0.000498691
UBA6,10,-0.701,0.2414674619,-0.043,0.8533400272,-0.085,0.9999813664,0.331,0.3661715192
UBA7,10,-0.366,0.1163385426,0.033,0.8464282893,0.070,0.7990893192,-0.116,0.6793019661
UBAC1,10,-0.068,0.7521241972,-0.067,0.910417291,0.295,0.2323663735,0.077,0.6753233127
UBAC2,9,-0.623,0.6540053576,-0.878,0.8296901992,-0.445,0.5541583612,-0.695,0.6840669125
UBALD1,10,-0.501,0.4612678897,-0.849,0.3316832687,-0.233,0.9309603457,-0.508,0.8582713722
UBALD2,9,0.197,0.2918075824,-0.236,0.9955377294,0.039,0.8401783332,-0.116,0.9875364462
UBAP1,10,-1.153,0.0050999061,-1.443,0.1186724615,-1.616,0.0065037614,-1.422,0.0008816037
UBAP1L,10,-0.735,0.6712748479,-0.359,0.3493730655,-0.124,0.783428265,-0.116,0.9973857963
UBAP2,10,0.087,0.3090535157,-0.419,0.5188130147,-0.191,0.8183807956,0.015,0.5099515654
UBAP2L,10,-0.548,0.1185593096,-0.178,0.9453456155,0.314,0.5203301442,-0.019,0.9875364462
UBASH3A,8,-0.778,0.8646160339,-1.225,0.7934571511,-0.776,0.9139961217,-0.483,0.4667735648
UBASH3B,9,-0.309,0.4711635594,-0.246,0.672506903,0.185,0.6034429952,-0.116,0.9429044655
UBB,10,-1.307,0.1286555384,-2.479,0.0260066689,-1.571,0.0667832774,-2.087,0.0007788366
UBC,10,-1.295,0.1077253728,-0.290,0.7647948191,-0.654,0.3371273953,0.025,0.8278189909
UBD,10,0.302,0.0870583238,0.330,0.1066715283,0.331,0.1666760704,0.400,0.2081320938
